sample_no,set_name,input_token,output_token,total_token
1311,test,151,563,714
1312,test,133,460,593
1313,test,137,506,643
1314,test,151,436,587
1315,test,132,3343,3475
1316,test,124,246,370
1317,test,150,1101,1251
1318,test,127,1080,1207
1319,test,161,543,704
1320,test,144,824,968
1321,test,132,408,540
1322,test,143,471,614
1323,test,136,1112,1248
1324,test,128,388,516
1325,test,128,1414,1542
1326,test,152,477,629
1327,test,184,411,595
1328,test,124,354,478
1329,test,130,362,492
1330,test,151,3015,3166
1331,test,130,1773,1903
1332,test,124,486,610
1333,test,127,328,455
1334,test,115,760,875
1335,test,177,325,502
1336,test,184,815,999
1337,test,197,957,1154
1338,test,128,1551,1679
1339,test,282,374,656
1340,test,157,776,933
1341,test,132,541,673
1342,test,137,321,458
1343,test,143,385,528
1344,test,187,663,850
1345,test,129,1402,1531
1346,test,139,616,755
1347,test,139,510,649
1348,test,144,432,576
1349,test,131,4528,4659
1350,test,143,3024,3167
1351,test,127,300,427
1352,test,162,834,996
1353,test,135,348,483
1354,test,218,809,1027
1355,test,154,374,528
1356,test,164,10906,11070
1357,test,148,384,532
1358,test,142,803,945
1359,test,119,276,395
1360,test,152,314,466
1361,test,127,381,508
1362,test,160,1493,1653
1363,test,154,666,820
1364,test,237,2134,2371
1365,test,122,365,487
1366,test,183,307,490
1367,test,148,511,659
1368,test,193,796,989
1369,test,162,428,590
1370,test,133,288,421
1371,test,129,535,664
1372,test,147,459,606
1373,test,148,1126,1274
1374,test,168,3388,3556
1375,test,170,598,768
1376,test,130,1069,1199
1377,test,155,557,712
1378,test,145,584,729
1379,test,138,300,438
1380,test,130,404,534
1381,test,129,592,721
1382,test,188,464,652
1383,test,124,500,624
1384,test,166,1918,2084
1385,test,142,733,875
1386,test,158,514,672
1387,test,142,569,711
1388,test,120,645,765
1389,test,121,354,475
1390,test,120,435,555
1391,test,132,545,677
1392,test,182,971,1153
1393,test,128,362,490
1394,test,129,342,471
1395,test,127,479,606
1396,test,153,405,558
1397,test,120,323,443
1398,test,121,481,602
1399,test,138,1517,1655
1400,test,133,512,645
1401,test,162,459,621
1402,test,139,418,557
1403,test,137,469,606
1404,test,144,445,589
1405,test,155,711,866
1406,test,144,534,678
1407,test,153,503,656
1408,test,139,492,631
1409,test,129,381,510
1410,test,143,472,615
1411,test,126,579,705
1412,test,134,2589,2723
1413,test,125,578,703
1414,test,135,420,555
1415,test,196,652,848
1416,test,147,473,620
1417,test,120,696,816
1418,test,142,476,618
1419,test,154,1975,2129
1420,test,118,675,793
1421,test,120,532,652
1422,test,174,804,978
1423,test,144,458,602
1424,test,151,862,1013
1425,test,144,549,693
1426,test,147,657,804
1427,test,129,602,731
1428,test,168,864,1032
1429,test,129,388,517
1430,test,126,576,702
1431,test,151,629,780
1432,test,236,681,917
1433,test,142,789,931
1434,test,159,406,565
1435,test,128,351,479
1436,test,139,646,785
1437,test,126,375,501
1438,test,183,473,656
1439,test,125,266,391
1440,test,129,255,384
1441,test,133,606,739
1442,test,151,768,919
1443,test,121,530,651
1444,test,165,777,942
1445,test,131,285,416
1446,test,162,436,598
1447,test,139,458,597
1448,test,164,432,596
1449,test,116,256,372
1450,test,137,1019,1156
1451,test,144,329,473
1452,test,153,842,995
1453,test,155,660,815
1454,test,124,574,698
1455,test,131,286,417
1456,test,132,213,345
1457,test,129,357,486
1458,test,196,3261,3457
1459,test,160,324,484
1460,test,148,1337,1485
1461,test,147,426,573
1462,test,130,383,513
1463,test,127,539,666
1464,test,159,423,582
1465,test,121,633,754
1466,test,145,519,664
1467,test,168,809,977
1468,test,133,638,771
1469,test,115,313,428
1470,test,145,452,597
1471,test,168,527,695
1472,test,132,445,577
1473,test,152,494,646
1474,test,114,529,643
1475,test,124,291,415
1476,test,159,1964,2123
1477,test,136,322,458
1478,test,151,332,483
1479,test,129,301,430
1480,test,152,481,633
1481,test,130,479,609
1482,test,172,382,554
1483,test,120,286,406
1484,test,147,341,488
1485,test,125,240,365
1486,test,130,483,613
1487,test,129,389,518
1488,test,128,361,489
1489,test,134,630,764
1490,test,121,737,858
1491,test,153,1219,1372
1492,test,159,766,925
1493,test,135,381,516
1494,test,126,658,784
1495,test,165,1689,1854
1496,test,143,2136,2279
1497,test,113,484,597
1498,test,160,927,1087
1499,test,124,642,766
1500,test,123,241,364
1501,test,173,306,479
1502,test,136,284,420
1503,test,145,1490,1635
1504,test,145,3496,3641
1505,test,127,1228,1355
1506,test,156,414,570
1507,test,153,345,498
1508,test,134,434,568
1509,test,149,562,711
1510,test,139,308,447
1511,test,137,436,573
1512,test,176,1073,1249
1513,test,134,806,940
1514,test,124,344,468
1515,test,126,317,443
1516,test,125,381,506
1517,test,124,317,441
1518,test,132,448,580
1519,test,136,424,560
1520,test,135,470,605
1521,test,130,697,827
1522,test,158,827,985
1523,test,166,488,654
1524,test,132,333,465
1525,test,123,411,534
1526,test,159,776,935
1527,test,121,222,343
1528,test,136,622,758
1529,test,130,622,752
1530,test,148,540,688
1531,test,186,840,1026
1532,test,163,393,556
1533,test,125,442,567
1534,test,133,417,550
1535,test,156,419,575
1536,test,132,750,882
1537,test,145,519,664
1538,test,137,1241,1378
1539,test,107,334,441
1540,test,128,1478,1606
1541,test,147,385,532
1542,test,152,1647,1799
1543,test,137,392,529
1544,test,176,410,586
1545,test,119,451,570
1546,test,150,1411,1561
1547,test,148,904,1052
1548,test,172,1135,1307
1549,test,154,300,454
1550,test,131,270,401
1551,test,144,2463,2607
1552,test,140,258,398
1553,test,152,511,663
1554,test,121,397,518
1555,test,160,528,688
1556,test,129,406,535
1557,test,114,265,379
1558,test,198,8129,8327
1559,test,181,961,1142
1560,test,143,387,530
1561,test,144,397,541
1562,test,162,548,710
1563,test,137,8051,8188
1564,test,129,281,410
1565,test,164,466,630
1566,test,167,320,487
1567,test,144,372,516
1568,test,124,364,488
1569,test,162,523,685
1570,test,116,1262,1378
1571,test,138,329,467
1572,test,150,608,758
1573,test,155,488,643
1574,test,134,531,665
1575,test,111,391,502
1576,test,139,320,459
1577,test,149,383,532
1578,test,134,661,795
1579,test,164,627,791
1580,test,182,438,620
1581,test,154,244,398
1582,test,143,621,764
1583,test,125,422,547
1584,test,139,3927,4066
1585,test,120,491,611
1586,test,142,371,513
1587,test,144,2915,3059
1588,test,139,338,477
1589,test,161,567,728
1590,test,154,460,614
1591,test,155,972,1127
1592,test,160,451,611
1593,test,183,540,723
1594,test,121,276,397
1595,test,147,791,938
1596,test,137,459,596
1597,test,143,399,542
1598,test,139,453,592
1599,test,156,4583,4739
1600,test,132,711,843
1601,test,134,508,642
1602,test,166,563,729
1603,test,132,3608,3740
1604,test,136,486,622
1605,test,132,761,893
1606,test,147,325,472
1607,test,186,928,1114
1608,test,122,361,483
1609,test,180,2920,3100
1610,test,125,693,818
1611,test,220,623,843
1612,test,150,1196,1346
1613,test,174,660,834
1614,test,167,487,654
1615,test,131,241,372
1616,test,129,477,606
1617,test,137,439,576
1618,test,121,711,832
1619,test,167,1124,1291
1620,test,146,608,754
1621,test,129,2392,2521
1622,test,183,1777,1960
1623,test,124,495,619
1624,test,135,429,564
1625,test,154,564,718
1626,test,135,776,911
1627,test,156,1674,1830
1628,test,131,458,589
1629,test,145,751,896
1630,test,141,398,539
1631,test,118,329,447
1632,test,124,433,557
1633,test,159,476,635
1634,test,123,444,567
1635,test,142,414,556
1636,test,118,605,723
1637,test,181,673,854
1638,test,136,555,691
1639,test,130,465,595
1640,test,129,646,775
1641,test,136,366,502
1642,test,148,334,482
1643,test,122,289,411
1644,test,140,789,929
1645,test,162,981,1143
1646,test,146,405,551
1647,test,148,295,443
1648,test,192,274,466
1649,test,177,648,825
1650,test,127,1338,1465
1651,test,181,3713,3894
1652,test,146,338,484
1653,test,127,807,934
1654,test,121,285,406
1655,test,155,426,581
1656,test,139,267,406
1657,test,124,443,567
1658,test,149,545,694
1659,test,126,495,621
1660,test,197,394,591
1661,test,119,352,471
1662,test,145,549,694
1663,test,147,262,409
1664,test,135,1465,1600
1665,test,129,838,967
1666,test,131,328,459
1667,test,125,2424,2549
1668,test,180,566,746
1669,test,212,612,824
1670,test,153,779,932
1671,test,157,2000,2157
1672,test,142,744,886
1673,test,130,5619,5749
1674,test,158,495,653
1675,test,158,365,523
1676,test,146,446,592
1677,test,153,307,460
1678,test,163,1244,1407
1679,test,119,397,516
1680,test,151,882,1033
1681,test,159,864,1023
1682,test,159,306,465
1683,test,157,1219,1376
1684,test,137,344,481
1685,test,135,422,557
1686,test,164,504,668
1687,test,180,595,775
1688,test,135,344,479
1689,test,126,417,543
1690,test,120,248,368
1691,test,121,412,533
1692,test,160,479,639
1693,test,167,603,770
1694,test,113,339,452
1695,test,175,575,750
1696,test,128,278,406
1697,test,183,374,557
1698,test,126,478,604
1699,test,175,573,748
1700,test,146,552,698
1701,test,140,534,674
1702,test,143,556,699
1703,test,139,602,741
1704,test,116,390,506
1705,test,131,425,556
1706,test,139,6995,7134
1707,test,144,493,637
1708,test,119,328,447
1709,test,120,355,475
1710,test,132,353,485
1711,test,147,575,722
1712,test,125,367,492
1713,test,131,286,417
1714,test,135,274,409
1715,test,138,353,491
1716,test,136,385,521
1717,test,128,571,699
1718,test,129,196,325
1719,test,126,2629,2755
1720,test,131,533,664
1721,test,145,558,703
1722,test,124,429,553
1723,test,128,310,438
1724,test,135,4480,4615
1725,test,139,313,452
1726,test,142,312,454
1727,test,137,478,615
1728,test,149,945,1094
1729,test,190,507,697
1730,test,178,668,846
1731,test,126,336,462
1732,test,155,533,688
1733,test,145,614,759
1734,test,141,724,865
1735,test,199,495,694
1736,test,139,281,420
1737,test,164,5181,5345
1738,test,137,425,562
1739,test,182,744,926
1740,test,127,4905,5032
1741,test,138,344,482
1742,test,125,362,487
1743,test,145,395,540
1744,test,153,572,725
1745,test,201,949,1150
1746,test,135,369,504
1747,test,154,628,782
1748,test,140,909,1049
1749,test,144,1984,2128
1750,test,142,452,594
1751,test,134,330,464
1752,test,127,585,712
1753,test,149,403,552
1754,test,117,1948,2065
1755,test,118,615,733
1756,test,133,313,446
1757,test,121,1096,1217
1758,test,138,312,450
1759,test,206,575,781
1760,test,133,289,422
1761,test,129,732,861
1762,test,133,850,983
1763,test,127,695,822
1764,test,124,497,621
1765,test,160,1082,1242
1766,test,176,456,632
1767,test,141,478,619
1768,test,173,684,857
1769,test,130,377,507
1770,test,128,420,548
1771,test,126,221,347
1772,test,128,292,420
1773,test,143,713,856
1774,test,152,399,551
1775,test,121,407,528
1776,test,117,359,476
1777,test,161,693,854
1778,test,153,1480,1633
1779,test,144,392,536
1780,test,142,369,511
1781,test,158,511,669
1782,test,131,779,910
1783,test,145,3183,3328
1784,test,165,713,878
1785,test,189,1090,1279
1786,test,143,1185,1328
1787,test,122,344,466
1788,test,132,490,622
1789,test,132,769,901
1790,test,155,538,693
1791,test,140,448,588
1792,test,152,343,495
1793,test,137,442,579
1794,test,149,1245,1394
1795,test,180,907,1087
1796,test,137,317,454
1797,test,135,441,576
1798,test,140,591,731
1799,test,139,238,377
1800,test,128,218,346
1801,test,168,424,592
1802,test,131,380,511
1803,test,166,2576,2742
1804,test,143,326,469
1805,test,127,365,492
1806,test,151,700,851
1807,test,170,6713,6883
1808,test,129,293,422
1809,test,164,365,529
1810,test,146,284,430
1811,test,143,421,564
1813,test,115,429,544
1814,test,139,300,439
1815,test,198,2825,3023
1816,test,132,389,521
1817,test,131,448,579
1818,test,136,1574,1710
1819,test,147,433,580
1820,test,163,668,831
1821,test,152,512,664
1822,test,168,582,750
1823,test,125,351,476
1824,test,146,4960,5106
1825,test,124,854,978
1826,test,160,501,661
1827,test,125,930,1055
1828,test,163,456,619
1829,test,132,498,630
1830,test,156,2574,2730
1831,test,151,402,553
1832,test,139,1478,1617
1833,test,133,341,474
1834,test,123,1455,1578
1835,test,128,574,702
1836,test,143,870,1013
1837,test,135,493,628
1838,test,206,825,1031
1839,test,192,810,1002
1840,test,125,284,409
1841,test,146,747,893
1842,test,139,287,426
1843,test,128,322,450
1844,test,116,304,420
1845,test,133,510,643
1846,test,136,410,546
1847,test,145,306,451
1848,test,143,307,450
1849,test,160,610,770
1850,test,188,1314,1502
1851,test,147,1446,1593
1852,test,125,404,529
1853,test,132,361,493
1854,test,133,434,567
1855,test,149,1140,1289
1856,test,124,263,387
1857,test,159,415,574
1858,test,130,361,491
1859,test,124,410,534
1860,test,122,504,626
1861,test,151,292,443
1862,test,125,436,561
1863,test,127,360,487
1864,test,230,730,960
1865,test,166,1458,1624
1866,test,148,418,566
1867,test,152,444,596
1868,test,121,474,595
1869,test,128,564,692
1870,test,151,380,531
1871,test,127,306,433
1872,test,143,469,612
1873,test,127,274,401
1874,test,133,3428,3561
1875,test,114,507,621
1876,test,125,683,808
1877,test,162,1150,1312
1878,test,142,655,797
1879,test,155,576,731
1880,test,172,1454,1626
1881,test,145,694,839
1882,test,168,364,532
1883,test,128,1121,1249
1884,test,134,428,562
1885,test,127,448,575
1886,test,126,548,674
1887,test,122,721,843
1888,test,156,564,720
1889,test,132,370,502
1890,test,128,282,410
1891,test,173,460,633
1892,test,145,913,1058
1893,test,126,167,293
1894,test,190,817,1007
1895,test,112,381,493
1896,test,123,388,511
1897,test,153,640,793
1898,test,170,370,540
1899,test,127,389,516
1900,test,154,273,427
1901,test,138,548,686
1902,test,123,338,461
1903,test,144,316,460
1904,test,118,1919,2037
1905,test,114,606,720
1906,test,129,1161,1290
1907,test,121,244,365
1908,test,145,338,483
1909,test,147,317,464
1910,test,111,690,801
1911,test,156,300,456
1912,test,127,609,736
1913,test,162,369,531
1914,test,176,628,804
1915,test,170,629,799
1916,test,140,1023,1163
1917,test,132,261,393
1918,test,168,641,809
1919,test,124,285,409
1920,test,160,335,495
1921,test,201,852,1053
1922,test,144,758,902
1923,test,129,283,412
1924,test,134,321,455
1925,test,152,3409,3561
1926,test,125,339,464
1927,test,128,360,488
1928,test,192,511,703
1929,test,164,404,568
1930,test,166,848,1014
1931,test,132,881,1013
1932,test,131,761,892
1933,test,135,447,582
1934,test,117,415,532
1935,test,148,1085,1233
1936,test,143,279,422
1937,test,148,402,550
1938,test,156,393,549
1939,test,134,899,1033
1940,test,130,394,524
1941,test,127,361,488
1942,test,127,388,515
1943,test,130,667,797
1944,test,124,435,559
1945,test,139,287,426
1946,test,135,406,541
1947,test,139,1094,1233
1948,test,136,332,468
1949,test,143,530,673
1950,test,122,495,617
1951,test,160,1094,1254
1952,test,137,606,743
1953,test,129,950,1079
1954,test,192,534,726
1955,test,185,1320,1505
1956,test,132,1700,1832
1957,test,135,431,566
1958,test,225,698,923
1959,test,143,352,495
1960,test,135,570,705
1961,test,127,297,424
1962,test,141,297,438
1963,test,160,715,875
1964,test,145,337,482
1965,test,157,400,557
1966,test,135,464,599
1967,test,130,746,876
1968,test,151,632,783
1969,test,131,807,938
1970,test,146,406,552
1971,test,180,548,728
1972,test,223,641,864
1973,test,166,1572,1738
1974,test,130,338,468
1975,test,152,299,451
1976,test,133,586,719
1977,test,131,386,517
1978,test,150,722,872
1979,test,129,370,499
1980,test,111,1492,1603
1981,test,132,793,925
1982,test,136,1650,1786
1983,test,121,199,320
1984,test,127,352,479
1985,test,186,471,657
1986,test,145,525,670
1987,test,164,360,524
1988,test,149,591,740
1989,test,133,353,486
1990,test,130,311,441
1991,test,177,455,632
1992,test,132,270,402
1993,test,158,303,461
1994,test,133,545,678
1995,test,129,468,597
1996,test,151,362,513
1997,test,144,320,464
1998,test,159,538,697
1999,test,127,254,381
2000,test,146,3556,3702
2001,test,118,1194,1312
2002,test,160,1147,1307
2003,test,125,577,702
2004,test,160,589,749
2005,test,152,603,755
2006,test,124,614,738
2007,test,157,380,537
2008,test,123,1257,1380
2009,test,139,1207,1346
2010,test,184,538,722
2011,test,169,2108,2277
2012,test,145,2724,2869
2013,test,137,565,702
2014,test,120,807,927
2015,test,155,2441,2596
2016,test,124,431,555
2017,test,144,437,581
2018,test,142,1640,1782
2019,test,152,1890,2042
2020,test,124,1449,1573
2021,test,137,447,584
2022,test,155,1753,1908
2023,test,117,656,773
2024,test,160,615,775
2025,test,129,576,705
2026,test,129,401,530
2027,test,137,457,594
2028,test,132,311,443
2029,test,122,309,431
2030,test,152,1142,1294
2031,test,149,449,598
2032,test,180,519,699
2033,test,138,357,495
2034,test,159,506,665
2035,test,152,3206,3358
2036,test,133,275,408
2037,test,134,498,632
2038,test,128,329,457
2039,test,140,307,447
2040,test,128,448,576
2041,test,140,810,950
2042,test,123,314,437
2043,test,151,644,795
2044,test,157,504,661
2045,test,175,231,406
2046,test,143,405,548
2047,test,179,914,1093
2048,test,135,410,545
2049,test,133,360,493
2050,test,163,440,603
2051,test,131,1429,1560
2052,test,126,327,453
2053,test,139,959,1098
2054,test,127,519,646
2055,test,135,428,563
2056,test,124,371,495
2057,test,168,1204,1372
2058,test,148,599,747
2059,test,166,882,1048
2060,test,128,3070,3198
2061,test,163,519,682
2062,test,167,529,696
2063,test,125,1383,1508
2064,test,127,419,546
2065,test,319,619,938
2066,test,128,361,489
2067,test,154,708,862
2068,test,155,1289,1444
2069,test,148,819,967
2070,test,161,302,463
2071,test,130,219,349
2072,test,153,338,491
2073,test,136,509,645
2074,test,128,362,490
2075,test,126,326,452
2076,test,162,942,1104
2077,test,118,2948,3066
2078,test,141,622,763
2079,test,159,1223,1382
2080,test,151,553,704
2081,test,146,435,581
2082,test,121,241,362
2083,test,144,480,624
2084,test,145,359,504
2085,test,135,502,637
2086,test,122,562,684
2087,test,127,691,818
2088,test,148,631,779
2089,test,167,1802,1969
2090,test,166,526,692
2091,test,145,489,634
2092,test,138,431,569
2093,test,111,1734,1845
2094,test,134,1428,1562
2095,test,173,548,721
2096,test,129,1299,1428
2097,test,136,492,628
2098,test,126,420,546
2099,test,137,388,525
2100,test,144,1089,1233
2101,test,184,777,961
2102,test,133,506,639
2103,test,132,564,696
2104,test,162,953,1115
2105,test,153,3053,3206
2106,test,153,311,464
2107,test,121,390,511
2108,test,128,304,432
2109,test,148,549,697
2110,test,130,412,542
2111,test,147,275,422
2112,test,131,298,429
2113,test,131,419,550
2114,test,161,290,451
2115,test,167,616,783
2116,test,162,417,579
2117,test,125,699,824
2118,test,135,481,616
2119,test,132,323,455
2120,test,136,593,729
2121,test,127,500,627
2122,test,143,744,887
2123,test,195,1066,1261
2124,test,165,512,677
2125,test,143,2182,2325
2126,test,159,359,518
2127,test,127,468,595
2128,test,239,3568,3807
2129,test,144,240,384
2130,test,128,390,518
2131,test,120,380,500
2132,test,125,1077,1202
2133,test,157,3010,3167
2134,test,179,397,576
2135,test,136,343,479
2136,test,120,248,368
2137,test,118,286,404
2138,test,150,894,1044
2139,test,130,533,663
2140,test,126,492,618
2141,test,151,372,523
2142,test,121,192,313
2143,test,143,518,661
2144,test,147,361,508
2145,test,221,876,1097
2146,test,127,346,473
2147,test,151,372,523
2148,test,164,354,518
2149,test,114,1344,1458
2150,test,150,393,543
2151,test,137,383,520
2152,test,129,438,567
2153,test,143,477,620
2154,test,127,400,527
2155,test,125,330,455
2156,test,126,288,414
2157,test,131,376,507
2158,test,142,456,598
2159,test,149,501,650
2160,test,153,353,506
2161,test,150,523,673
2162,test,200,519,719
2163,test,142,318,460
2164,test,147,392,539
2165,test,158,689,847
2166,test,174,539,713
2167,test,140,431,571
2168,test,138,488,626
2169,test,140,305,445
2170,test,161,634,795
2171,test,130,445,575
2172,test,131,382,513
2173,test,134,334,468
2174,test,195,544,739
2175,test,132,1413,1545
2176,test,137,478,615
2177,test,169,1075,1244
2178,test,167,592,759
2179,test,139,573,712
2180,test,139,763,902
2181,test,141,514,655
2182,test,170,496,666
2183,test,245,350,595
2184,test,127,973,1100
2185,test,120,260,380
2186,test,135,2088,2223
2187,test,184,506,690
2188,test,157,533,690
2189,test,123,420,543
2190,test,145,493,638
2191,test,132,426,558
2192,test,148,1501,1649
2193,test,144,415,559
2194,test,179,467,646
2195,test,143,329,472
2196,test,184,599,783
2197,test,128,528,656
2198,test,168,2606,2774
2199,test,155,656,811
2200,test,132,1263,1395
2201,test,148,628,776
2202,test,123,368,491
2203,test,189,1651,1840
2204,test,152,617,769
2205,test,122,441,563
2206,test,170,343,513
2207,test,191,704,895
2208,test,139,478,617
2209,test,145,484,629
2210,test,130,343,473
2211,test,137,438,575
2212,test,119,415,534
2213,test,128,513,641
2214,test,130,422,552
2215,test,132,475,607
2216,test,122,1199,1321
2217,test,132,330,462
2218,test,136,619,755
2219,test,158,710,868
2220,test,133,7030,7163
2221,test,165,1391,1556
2222,test,120,539,659
2223,test,153,744,897
2224,test,127,315,442
2225,test,141,409,550
2226,test,173,1113,1286
2227,test,148,593,741
2228,test,135,726,861
2229,test,119,248,367
2230,test,181,326,507
2231,test,130,404,534
2232,test,128,443,571
2233,test,149,973,1122
2234,test,170,417,587
2235,test,136,4071,4207
2236,test,134,664,798
2237,test,144,727,871
2238,test,131,429,560
2239,test,124,380,504
2240,test,128,599,727
2241,test,136,452,588
2242,test,129,1028,1157
2243,test,178,315,493
2244,test,126,2829,2955
2245,test,176,1097,1273
2246,test,158,713,871
2247,test,154,378,532
2248,test,205,544,749
2249,test,113,371,484
2250,test,164,958,1122
2251,test,121,298,419
2252,test,126,353,479
2253,test,124,629,753
2254,test,122,313,435
2255,test,140,443,583
2256,test,122,2210,2332
2257,test,121,1591,1712
2258,test,141,1208,1349
2259,test,135,694,829
2260,test,186,747,933
2261,test,148,480,628
2262,test,139,300,439
2263,test,136,475,611
2264,test,136,481,617
2265,test,136,1134,1270
2266,test,116,1660,1776
2267,test,132,407,539
2268,test,294,651,945
2269,test,171,424,595
2270,test,138,565,703
2271,test,140,320,460
2272,test,180,1562,1742
2273,test,152,475,627
2274,test,176,557,733
2275,test,215,961,1176
2276,test,133,1007,1140
2277,test,170,468,638
2278,test,206,369,575
2279,test,173,676,849
2280,test,146,4342,4488
2281,test,216,4472,4688
2282,test,155,455,610
2283,test,120,413,533
2284,test,133,263,396
2285,test,130,251,381
2286,test,168,432,600
2287,test,131,402,533
2288,test,144,665,809
2289,test,130,723,853
2290,test,134,355,489
2291,test,130,516,646
2292,test,142,371,513
2293,test,136,385,521
2294,test,133,1548,1681
2295,test,205,991,1196
2296,test,147,536,683
2297,test,128,426,554
2298,test,165,397,562
2299,test,135,348,483
2300,test,136,406,542
2301,test,129,475,604
2302,test,126,340,466
2303,test,174,451,625
2304,test,134,335,469
2305,test,154,1872,2026
2306,test,151,1295,1446
2307,test,163,867,1030
2308,test,132,270,402
2309,test,118,341,459
2310,test,159,498,657
2311,test,151,260,411
2312,test,224,750,974
2313,test,152,774,926
2314,test,178,712,890
2315,test,125,1228,1353
2316,test,115,437,552
2317,test,144,623,767
2318,test,136,430,566
2319,test,131,267,398
2320,test,136,1086,1222
2321,test,187,419,606
2322,test,160,377,537
2323,test,130,326,456
2324,test,163,4685,4848
2325,test,139,510,649
2326,test,121,323,444
2327,test,141,439,580
2328,test,144,363,507
2329,test,134,2193,2327
2330,test,120,344,464
2331,test,126,225,351
2332,test,135,352,487
2333,test,139,620,759
2334,test,139,381,520
2335,test,129,315,444
2336,test,150,366,516
2337,test,126,2264,2390
2338,test,139,507,646
2339,test,143,293,436
2340,test,123,400,523
2341,test,160,437,597
2342,test,138,270,408
2343,test,152,387,539
2344,test,157,361,518
2345,test,151,926,1077
2346,test,143,460,603
2347,test,121,613,734
2348,test,125,425,550
2349,test,228,465,693
2350,test,140,900,1040
2351,test,135,597,732
2352,test,123,338,461
2353,test,143,293,436
2354,test,137,429,566
2355,test,164,434,598
2356,test,144,307,451
2357,test,149,318,467
2358,test,130,258,388
2359,test,155,813,968
2360,test,160,403,563
2361,test,146,389,535
2362,test,140,2991,3131
2363,test,148,587,735
2364,test,145,290,435
2365,test,123,298,421
2366,test,121,453,574
2367,test,125,340,465
2368,test,119,718,837
2369,test,141,416,557
2370,test,148,501,649
2371,test,144,378,522
2372,test,129,1001,1130
2373,test,138,358,496
2374,test,173,450,623
2375,test,130,422,552
2376,test,133,334,467
2377,test,139,456,595
2378,test,140,547,687
2379,test,146,448,594
2380,test,124,328,452
2381,test,146,569,715
2382,test,123,248,371
2383,test,123,570,693
2384,test,143,443,586
2385,test,241,514,755
2386,test,120,767,887
2387,test,138,413,551
2388,test,227,1993,2220
2389,test,146,368,514
2390,test,146,302,448
2391,test,232,1531,1763
2392,test,166,406,572
2393,test,147,476,623
2394,test,157,1189,1346
2395,test,124,347,471
2396,test,218,477,695
2397,test,109,336,445
2398,test,183,478,661
2399,test,134,1120,1254
2400,test,153,425,578
2401,test,152,564,716
2402,test,155,406,561
2403,test,136,424,560
2404,test,147,342,489
2405,test,131,297,428
2406,test,202,3809,4011
2407,test,163,3349,3512
2408,test,150,1790,1940
2409,test,131,508,639
2410,test,172,1657,1829
2411,test,141,814,955
2412,test,126,276,402
2413,test,177,1109,1286
2414,test,135,1316,1451
2415,test,129,312,441
2416,test,143,419,562
2417,test,119,665,784
2418,test,136,590,726
2419,test,127,467,594
2420,test,163,705,868
2421,test,118,229,347
2422,test,153,759,912
2423,test,158,1205,1363
2424,test,178,634,812
2425,test,163,1130,1293
2426,test,132,898,1030
2427,test,151,1077,1228
2428,test,152,439,591
2429,test,141,456,597
2430,test,134,293,427
2431,test,144,471,615
2432,test,139,526,665
2433,test,135,621,756
2434,test,117,710,827
2435,test,131,1148,1279
2436,test,159,379,538
2437,test,141,1264,1405
2438,test,130,390,520
2439,test,144,719,863
2440,test,145,324,469
2441,test,131,560,691
2442,test,129,313,442
2443,test,174,418,592
2444,test,134,310,444
2445,test,156,560,716
2446,test,184,646,830
2447,test,139,413,552
2448,test,179,1216,1395
2449,test,130,681,811
2450,test,155,776,931
2451,test,152,420,572
2452,test,127,298,425
2453,test,141,420,561
2454,test,144,420,564
2455,test,144,383,527
2456,test,148,768,916
2457,test,168,525,693
2458,test,144,408,552
2459,test,158,544,702
2460,test,147,919,1066
2461,test,152,476,628
2462,test,150,444,594
2463,test,132,476,608
2464,test,136,276,412
2465,test,164,903,1067
2466,test,238,3414,3652
2467,test,166,499,665
2468,test,121,239,360
2469,test,146,2238,2384
2470,test,153,776,929
2471,test,126,273,399
2472,test,136,349,485
2473,test,176,496,672
2474,test,163,425,588
2475,test,142,410,552
2476,test,148,344,492
2477,test,127,280,407
2478,test,127,453,580
2479,test,134,355,489
2480,test,165,6856,7021
2481,test,125,283,408
2482,test,117,495,612
2483,test,166,437,603
2484,test,165,660,825
2485,test,197,1426,1623
2486,test,132,724,856
2487,test,108,1229,1337
2488,test,186,429,615
2489,test,172,669,841
2490,test,126,749,875
2491,test,141,620,761
2492,test,139,350,489
2493,test,156,330,486
2494,test,133,372,505
2495,test,134,635,769
2496,test,131,845,976
2497,test,177,442,619
2498,test,139,319,458
2499,test,126,407,533
2500,test,150,1422,1572
2501,test,165,1973,2138
2502,test,118,328,446
2503,test,154,942,1096
2504,test,159,592,751
2505,test,249,700,949
2506,test,312,3576,3888
2507,test,126,625,751
2508,test,140,421,561
2509,test,123,440,563
2510,test,118,758,876
2511,test,110,450,560
2512,test,149,235,384
2513,test,136,657,793
2514,test,130,438,568
2515,test,143,529,672
2516,test,121,253,374
2517,test,141,426,567
2518,test,132,816,948
2519,test,138,2238,2376
2520,test,175,2860,3035
2521,test,153,892,1045
2522,test,141,382,523
2523,test,142,1426,1568
2524,test,116,358,474
2525,test,166,424,590
2526,test,127,457,584
2527,test,153,2009,2162
2528,test,155,673,828
2529,test,130,239,369
2530,test,141,461,602
2531,test,160,326,486
2532,test,138,773,911
2533,test,130,424,554
2534,test,225,1951,2176
2535,test,140,679,819
2536,test,143,505,648
2537,test,118,764,882
2538,test,117,591,708
2539,test,134,385,519
2540,test,129,458,587
2541,test,137,458,595
